,insee
38544.0,39
38185.0,35
38138.0,20
38517.0,12
38130.0,11
38442.0,8
38226.0,6
38474.0,6
38545.0,4
38509.0,4
38565.0,4
38412.0,3
38105.0,3
38239.0,3
38535.0,3
38480.0,3
38053.0,2
38259.0,2
38563.0,2
38190.0,2
38389.0,2
38374.0,2
38303.0,2
38061.0,2
38359.0,2
38455.0,2
38140.0,2
38026.0,2
38388.0,2
38562.0,2
38200.0,2
38193.0,2
38109.0,2
38206.0,2
38045.0,2
38449.0,2
38279.0,2
38335.0,2
38422.0,2
38416.0,2
38344.0,2
38261.0,2
38332.0,2
38386.0,2
38539.0,2
38556.0,2
38027.0,2
38296.0,1
38494.0,1
38188.0,1
38003.0,1
38240.0,1
38463.0,1
38212.0,1
38083.0,1
38501.0,1
38297.0,1
38466.0,1
38363.0,1
38404.0,1
38139.0,1
38288.0,1
38516.0,1
38486.0,1
38107.0,1
38131.0,1
38400.0,1
38191.0,1
38150.0,1
38135.0,1
38457.0,1
38384.0,1
38257.0,1
38145.0,1
38082.0,1
38426.0,1
38065.0,1
38356.0,1
38035.0,1
38144.0,1
38515.0,1
38392.0,1
38446.0,1
38439.0,1
38126.0,1
38300.0,1
38215.0,1
38048.0,1
38294.0,1
38089.0,1
38087.0,1
38270.0,1
38204.0,1
38560.0,1
38205.0,1
38421.0,1
38056.0,1
38038.0,1
38148.0,1
38314.0,1
38495.0,1
38504.0,1
38010.0,1
38408.0,1
38095.0,1
38093.0,1
38342.0,1
38097.0,1
38468.0,1
38115.0,1
38146.0,1
38009.0,1
38224.0,1
38055.0,1
38547.0,1
38397.0,1
38244.0,1
38111.0,1
38503.0,1
38564.0,1
38451.0,1
38133.0,1
38398.0,1
38347.0,1
38487.0,1
38354.0,1
38253.0,1
38511.0,1
38113.0,1
38004.0,1
38366.0,1
38370.0,1
38221.0,1
38353.0,1
38117.0,1
38246.0,1
38305.0,1
38537.0,1
38317.0,1
38036.0,1
38561.0,1
38485.0,1
38540.0,1
38274.0,1
38452.0,1
38013.0,1
38100.0,1
38423.0,1
38179.0,1
